 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2017,,45,14.6,51.1%,0.0%,14,23.3,0.0%,21.4%
2018,,100,16.3,39.0%,1.0%,60,21.4,1.7%,15.0%
2019,,423,16.6,29.6%,1.7%,309,23.4,2.9%,13.9%
2020,,346,17.0,28.6%,2.0%,126,23.6,0.0%,11.1%
2021,,730,17.9,19.6%,2.3%,420,24.5,0.7%,16.4%
2022,,705,18.3,17.2%,2.0%,537,23.6,0.2%,10.4%
