 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,128,567,-4,-7,8,2,0
2020,,86,352,-2,-6,2,1,-4
2021,,637,"2,652",-24,-18,27,8,-8
2022,,622,"2,448",-43,-19,17,6,-38
