Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2018,0,,0,0,0,0,0,0,0,0,98,100,2
2019,2,,0,0,0,0,1,0,0,1,91,97,6
2020,1,,2,0,-1,1,0,0,0,0,87,90,3
2021,10,,1,1,5,8,2,0,0,2,88,91,3
2022,13,,3,0,3,7,2,2,2,7,88,91,3
