,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,596,535,72,118,0,32,21,.221,.291,.273,.564
5 Seasons,1458,1298,197,320,5,96,67,.247,.322,.313,.635
