 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2020,6,11,54.5,1,0.8,0.9,0.2,1.8,35.8
2021,63,101,62.4,7,0.4,0.5,-0.1,0.8,34
2022,61,100,61,10,0.1,0.5,0,0.6,34.7
