PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Archer(L, 2-8)",2.0,2,2,2,1,1,1,4.56
Sands,3.1,2,3,3,5,1,0,6.75
Pagán,2.1,2,1,1,1,3,0,4.85
Megill,1.1,1,0,0,0,2,0,3.98
,9.0,7,6,6,7,7,1,
