PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Gray, S(W, 6-3)",5.0,5,1,1,1,5,1,3.41
"Pagán(H, 6)",1.0,0,0,0,1,2,0,4.89
"Megill(H, 2)",0.1,2,0,0,0,0,0,2.08
"Jax(H, 10)",0.2,0,0,0,0,1,0,3.02
"Duran, J",1.0,0,0,0,0,2,0,2.20
Duffey,1.0,1,3,3,1,1,1,4.57
,9.0,8,4,4,3,11,2,
