PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Schmidt,3.0,1,0,0,1,5,0,2.82
Weber,3.2,2,1,1,0,1,1,2.45
Marinaccio,1.1,0,0,0,0,1,0,3.55
"King(W, 4-1)",1.0,0,0,0,1,2,0,2.55
,9.0,3,1,1,2,9,1,
