PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Beeks,2.0,0,0,0,0,1,0,1.29
Wisler,2.0,0,0,0,1,1,0,2.01
"Raley, B(H, 9)",1.2,1,0,0,0,2,0,3.00
"Thompson, R(BS, 4)",0.0,1,1,1,2,0,0,6.75
Adam,1.1,1,0,0,0,0,0,0.68
Poche,1.0,0,0,0,0,1,0,1.33
"Armstrong(L, 0-1)",0.1,1,1,1,0,0,1,6.00
,8.1,4,2,2,3,5,1,
