PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Nelson, R",6.0,2,0,0,2,6,0,0.00
"Nelson, K(L, 2-1)",0.0,1,3,3,1,0,0,2.19
Ginkel,1.0,1,0,0,0,1,0,4.29
"Smith, C",1.0,0,0,0,0,1,0,4.61
Middleton,1.0,3,3,3,0,1,1,4.80
,9.0,7,6,6,3,9,1,
