PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"McCullers Jr.(L, 0-1)",4.1,6,7,7,1,5,5,5.87
Stanek,0.2,0,0,0,0,2,0,0.00
Urquidy,3.0,1,0,0,1,4,0,0.00
,8.0,7,7,7,2,11,5,
