PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Glasnow,5.0,2,0,0,0,5,0,0.00
Fairbanks,0.0,0,0,0,2,0,0,-.--
Adam,2.0,1,0,0,0,2,0,0.00
Rasmussen,1.2,0,0,0,0,2,0,0.00
Cleavinger,1.1,0,0,0,0,4,0,0.00
Armstrong,1.1,1,0,0,0,3,0,0.00
"Raley, B",1.0,0,0,0,1,2,0,0.00
"Kluber(L, 0-1)",1.2,1,1,1,0,1,1,5.40
,14.0,5,1,1,3,19,1,
