Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2011,CHC,NL,62,17,28,1,0,.313,2,2,8,196,3.161,.194,.000,.083,.033,1,0
2012,COL,NL,247,94,81,3,2,.353,18,8,28,894,3.619,.170,.008,.310,.114,4,0
2013,COL,NL,434,146,153,7,3,.328,26,13,70,1505,3.468,.154,.005,.284,.082,5,0
2014,COL,NL,538,172,200,7,2,.322,25,13,77,1985,3.690,.180,.009,.340,.081,2,0
2015,COL,NL,620,219,219,3,2,.362,32,20,92,2451,3.953,.173,.010,.467,.087,3,0
2016,COL,NL,635,273,188,8,6,.388,51,19,92,2577,4.058,.126,.017,.825,.147,4,0
2017,COL,NL,682,249,219,3,5,.351,40,24,109,2676,3.924,.132,.012,.656,.099,5,0
2018,COL,NL,581,228,174,2,7,.298,49,14,66,2191,3.771,.141,.026,.451,.152,7,1
2019,NYY,AL,655,312,175,1,4,.349,61,14,87,2463,3.760,.137,.040,.511,.191,6,2
2020,NYY,AL,216,115,61,0,1,.370,22,3,20,829,3.838,.097,.046,.857,.226,2,0
2021,NYY,AL,679,216,215,0,5,.301,35,16,73,2660,3.918,.138,.015,.777,.094,2,0
2022,NYY,AL,541,176,152,1,2,.285,30,12,66,2152,3.978,.131,.022,.944,.116,6,1
12 Seasons,3 Teams,,5890,2217,1865,36,39,.335,391,158,788,22579,3.833,.145,.018,.565,.121,47,4
