Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,620,0,0.0,.392,
2017,R,670,0,0.0,.340,
2018,R,581,0,0.0,.322,
2019,R,643,0,0.0,.371,
2020,R,216,1,0.5,.421,1.979
2021,R,666,0,0.0,.313,
2022,R,539,0,0.0,.331,
