 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2019,,77,18.5,13.0%,3.9%,40,23.3,0.0%,15.0%
2020,,15,16.6,26.7%,0.0%,14,22.1,0.0%,21.4%
2021,,412,17.7,18.2%,2.9%,219,23.5,0.0%,13.7%
2022,,560,17.6,17.7%,2.3%,374,22.9,0.0%,11.2%
