,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,581,527,72,140,13,63,0,.266,.325,.408,.733
4 Seasons,1098,1011,130,269,28,123,0,.266,.318,.414,.732
