Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,COL,NL,2B,16,13,112.2,63,19,41,3,10,,.952
2019,COL,NL,SS,9,5,56.0,26,10,14,2,3,,.923
2020,COL,NL,2B,5,4,33.0,13,8,5,0,2,,1.000
2020,COL,NL,SS,1,0,1.0,1,1,0,0,0,,1.000
2020,COL,NL,DH,1,0,0.0,0,0,0,0,0,,.000
2021,COL,NL,2B,81,78,660.2,334,127,203,4,47,,.988
2021,COL,NL,SS,26,18,163.2,63,16,46,1,10,,.984
2022,COL,NL,2B,134,133,1168.1,639,218,411,10,99,,.984
2022,COL,NL,DH,2,2,0.0,0,0,0,0,0,,.000
4 Seasons,COL,NL,2B,236,228,1974.2,1049,372,660,17,158,,.984
,COL,NL,SS,36,23,220.2,90,27,60,3,13,,.967
,COL,NL,DH,3,2,0.0,0,0,0,0,0,,.000
