,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2021,SD,NL,117,298,267,27,54,12,2,8,34,22,71,6,1,4,.202,.270,.352,.622
,2022,SD,NL,150,582,517,58,130,29,3,11,59,51,100,12,2,7,.251,.325,.383,.708
,2 Seasons,SD,NL,267,880,784,85,184,41,5,19,93,73,171,18,3,11,.235,.306,.372,.678
