PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Javier(W, 9-9)",6.0,2,0,0,0,8,0,2.87
"Abreu, B(H, 6)",1.0,1,1,1,0,2,1,1.98
"Stanek(H, 15)",1.0,1,0,0,0,1,0,1.12
"Pressly(S, 28)",1.0,1,0,0,0,2,0,3.10
,9.0,5,1,1,0,13,1,
