Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,24,24.7,,,37,63,577,14.2
2018,25,24.1,,,45,77,602,10.2
2019,26,23.6,,,55,86,638,6.7
