Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Boston Red Sox,MLB,First Inning,,,5.18,33,,,33.0,141,33,19,19,5,11,24,1.33
Boston Red Sox,MLB,Second Inning,,,4.64,33,,,33.0,143,30,17,17,4,19,37,1.48
Boston Red Sox,MLB,Third Inning,,,3.09,32,,,32.0,133,27,11,11,4,14,33,1.28
Boston Red Sox,MLB,Fourth Inning,,,4.15,31,,,30.1,130,30,14,14,6,9,25,1.29
Boston Red Sox,MLB,Fifth Inning,,,6.49,28,,,26.1,124,39,19,19,5,8,33,1.78
Boston Red Sox,MLB,Sixth Inning,,,5.40,18,,,15.0,67,13,9,9,2,10,14,1.53
Boston Red Sox,MLB,Seventh Inning,,,1.29,8,,,7.0,25,2,1,1,0,2,7,0.57
Boston Red Sox,MLB,Eighth Inning,,,4.50,2,,,2.0,7,1,1,1,1,0,2,0.50
Boston Red Sox,MLB,Ninth Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,0,0.00
