 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,4,9,44.4,0,-0.5,1.6,-0.2,0.9,31.7
2017,12,22,54.5,1,-1.2,0.5,0.4,-0.3,33
2018,35,57,61.4,5,-0.7,0.8,0,0.1,33.3
2019,23,36,63.9,1,-0.5,0.2,0.1,-0.2,33.4
2020,8,25,32,-1,-0.7,-0.7,0.3,-0.9,31.7
2021,24,43,55.8,2,-0.7,-0.2,0.4,0,33.6
2022,31,59,52.5,3,-1.4,0.1,0.6,-0.7,34.3
