 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,140,88.0,83.8,--,--,--,--,--,--,--,--,22,--,104,84.3,14,--
2021,262,92.2,84.6,--,--,--,--,--,--,--,--,9,--,253,84.6,--,--
2022,390,96.7,88.1,--,--,--,--,--,--,--,--,--,--,390,88.1,--,--
