,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,673,580,102,159,16,64,3,.274,.367,.433,.800
7 Seasons,2368,1973,335,530,63,213,23,.269,.385,.441,.826
