Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2016,NYM,NL,80,24,28,0,0,.365,2,0,11,349,4.362,.250,.013,.300,.055,0,0
2017,NYM,NL,215,74,86,1,2,.360,17,3,26,946,4.400,.279,.023,.550,.158,2,0
2018,NYM,NL,535,209,135,0,0,.351,53,8,41,2262,4.228,.262,.032,.571,.219,3,1
2019,NYM,NL,254,81,57,1,3,.293,20,1,18,1086,4.276,.280,.031,.648,.186,1,1
2020,NYM,NL,225,90,67,0,0,.326,19,1,19,978,4.347,.191,.036,.767,.204,0,0
2021,NYM,NL,386,142,98,2,0,.366,28,3,40,1547,4.008,.205,.021,.684,.145,2,0
2022,NYM,NL,673,251,165,3,3,.317,53,9,61,2781,4.132,.172,.024,.612,.159,8,1
7 Seasons,NYM,NL,2368,871,636,7,8,.336,192,25,216,9949,4.201,.223,.027,.611,.173,16,3
