BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
AndrusSS,4,1,1,0,1,1,2,.245,.692
Moncada3B,4,0,0,0,1,2,3,.199,.581
"Abreu, J1B",4,2,1,2,0,1,1,.309,.834
"Jiménez, EDH",4,2,3,3,0,1,0,.305,.854
"1-Garcia, LePR-DH",1,1,0,0,0,0,2,.214,.510
SheetsRF,3,0,0,2,0,1,0,.249,.731
VaughnLF,3,0,1,1,0,1,0,.284,.788
EngelCF,1,0,0,0,0,1,0,.229,.598
PollockCF-LF,3,1,1,0,1,1,0,.240,.673
Harrison2B,4,1,1,0,0,2,2,.247,.670
ZavalaC,3,1,0,0,0,1,0,.276,.732
,34,9,8,8,3,12,10,,
