BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",4,0,1,0,0,3,0,.252,.708
"Báez, JSS",3,0,0,0,0,0,1,.213,.626
"Castro, WSS",1,0,0,0,0,0,0,.254,.639
"Cabrera, MDH",3,0,1,0,0,0,1,.287,.670
Barnhart3B,1,0,0,0,0,0,0,.207,.511
"Castro, H3B-P",3,0,1,0,1,1,1,.281,.726
HaaseC,3,0,2,0,1,1,0,.242,.731
Schoop2B,4,0,0,0,0,2,5,.212,.561
GrossmanRF,2,0,0,0,1,0,0,.205,.586
Torkelson1B,3,0,0,0,0,2,1,.197,.577
BaddooLF,3,0,0,0,0,1,0,.138,.400
,30,0,5,0,3,10,9,,
