PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Pineda(L, 2-5)",2.0,9,8,8,0,1,2,5.22
De Jesus,1.2,3,2,2,1,0,1,4.91
Vest,1.1,0,0,0,0,2,0,3.41
"Jiménez, J",1.0,0,0,0,0,2,0,3.38
Foley,1.0,0,0,0,0,0,0,3.24
"Castro, H",1.0,1,0,0,0,0,0,4.50
,8.0,13,10,10,1,5,3,
