,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,522,474,62,121,29,72,1,.255,.315,.492,.807
7 Seasons,2683,2440,345,586,157,394,14,.240,.300,.490,.790
