 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2017,27,64,42.2,-3,0.1,-0.5,-0.4,-0.7,32.3
2018,33,58,56.9,1,0.9,-0.1,-0.6,0.2,34.1
2019,37,68,54.4,5,0.8,0.2,-0.5,0.5,33.8
2020,9,24,37.5,0,0.3,0.2,0.7,1.2,35
2021,33,77,42.9,-3,0.4,-0.2,-0.3,-0.1,32.8
2022,20,50,40,-3,0.4,-0.6,0,-0.2,33.1
