Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,35,0,0.0,.487,
2017,R,476,37,7.8,.307,.416
2018,R,435,120,27.6,.335,.352
2019,R,493,340,69.0,.327,.317
2020,R,138,102,73.9,.400,.237
2021,R,570,389,68.2,.278,.376
2022,R,521,240,46.1,.316,.383
