BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,4,0,1,0,0,1,2,.265,.863
McKinstryRF,1,0,0,0,0,1,0,.125,.625
TurnerSS,4,2,2,3,0,1,1,.306,.847
Alberto2B,0,0,0,0,0,0,0,.227,.600
"Freeman, F1B",4,2,2,1,0,0,0,.321,.927
"Smith, W.D.C",4,0,0,0,0,2,1,.272,.842
"Turner, JDH",2,1,0,0,2,0,0,.256,.733
Muncy3B,4,1,1,3,0,2,1,.164,.639
"Thompson, TLF",2,0,0,0,0,2,1,.221,.661
a-LambPH-LF,1,0,0,0,1,1,0,.233,.894
BellingerCF,4,0,1,0,0,1,1,.210,.647
Lux2B-SS,3,1,0,0,1,0,2,.292,.784
,33,7,7,7,4,11,9,,
