PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Falter,4.2,5,1,1,0,4,0,3.75
"Domínguez(W, 2-1)",1.1,1,0,0,0,2,0,3.09
"Alvarado(H, 4)",0.2,0,1,1,2,1,0,3.86
"Familia(H, 4)",1.0,2,0,0,0,1,0,2.53
"Knebel(S, 6)",1.1,0,0,0,0,2,0,2.70
,9.0,8,2,2,2,10,0,
