BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.DH,4,0,2,0,0,2,1,.269,.759
SwansonSS,4,0,1,2,0,2,2,.283,.781
Riley3B,4,0,1,0,0,0,3,.282,.908
Olson1B,4,0,1,0,0,1,3,.242,.803
d'ArnaudC,4,0,1,0,0,0,2,.263,.794
1-HerediaPR,0,0,0,0,0,0,0,.127,.505
"Harris II, MCF",4,0,1,0,0,1,1,.311,.904
Grissom2B,4,0,0,0,0,0,2,.309,.847
"Rosario, ELF",3,1,3,0,0,0,0,.200,.568
"a-Contreras, WmPH",1,0,0,0,0,0,1,.268,.849
GrossmanRF,2,1,0,0,1,1,2,.207,.618
,34,2,10,2,1,7,17,,
