,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,558,497,61,117,7,46,11,.235,.307,.334,.641
7 Seasons,1818,1577,219,385,30,157,38,.244,.330,.363,.693
