BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Wade Jr.DH,1,0,0,0,1,0,0,.178,.641
a-RufPH-DH,3,1,1,4,0,2,1,.229,.724
Belt1B,5,0,1,0,0,2,3,.241,.771
Flores2B,4,1,0,0,1,0,2,.250,.772
PedersonLF,5,0,1,0,0,0,1,.251,.843
Longoria3B,4,1,1,1,0,0,2,.245,.800
"Gonzalez, LRF",2,1,0,0,2,1,0,.279,.756
EstradaSS,3,1,1,1,1,0,0,.260,.729
YastrzemskiCF,2,0,0,0,0,0,0,.234,.743
b-SlaterPH-CF,1,1,0,0,0,0,3,.301,.865
WynnsC,1,0,1,0,1,0,0,.234,.609
"c-Mercedes, YPH",1,0,0,0,0,1,3,.242,.766
BartC,1,0,0,0,0,1,3,.183,.663
,33,6,6,6,6,7,18,,
