 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,117,92.3,89.0,--,--,--,--,--,--,--,--,--,--,23,--,94,88.9
2021,319,93.0,87.4,--,--,--,--,--,--,--,--,57,82.7,1,--,261,88.0
2022,348,94.0,90.7,--,--,--,--,--,--,--,--,20,--,--,--,328,90.7
