Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2016,HOU,AL,LF,22,13,125.1,19,19,0,0,0,,1.000
2016,HOU,AL,CF,15,10,85.2,19,17,1,1,0,,.947
2016,HOU,AL,RF,6,5,45.0,11,10,0,1,0,,.909
2017,HOU,AL,RF,1,0,1.1,1,1,0,0,0,,1.000
2017,TOR,AL,RF,2,2,21.0,4,4,0,0,0,,1.000
2017,TOR,AL,LF,18,16,146.0,23,21,1,1,0,,.957
2017,TOR,AL,CF,5,4,36.0,13,13,0,0,0,,1.000
2017,2 Teams,,RF,3,2,22.1,5,5,0,0,0,,1.000
2018,TOR,AL,LF,87,78,703.2,154,142,8,4,2,,.974
2018,TOR,AL,RF,35,33,284.2,76,69,3,4,0,,.947
2018,TOR,AL,DH,9,8,0.0,0,0,0,0,0,,.000
2019,TOR,AL,LF,46,38,356.1,88,78,7,3,4,,.966
2019,TOR,AL,CF,79,72,635.2,185,183,2,0,0,,1.000
2019,TOR,AL,DH,2,1,0.0,0,0,0,0,0,,.000
2020,TOR,AL,CF,9,5,55.0,15,14,1,0,0,,1.000
2020,TOR,AL,RF,40,38,325.2,71,62,6,3,2,,.958
2020,TOR,AL,DH,4,4,0.0,0,0,0,0,0,,.000
2021,TOR,AL,LF,58,24,250.0,42,40,0,2,0,,.952
2021,TOR,AL,CF,2,1,7.0,0,0,0,0,0,,.000
2021,TOR,AL,RF,110,105,881.0,230,220,7,3,1,,.987
2021,TOR,AL,DH,11,11,0.0,0,0,0,0,0,,.000
2022,TOR,AL,LF,8,3,33.1,16,16,0,0,0,,1.000
2022,TOR,AL,RF,117,115,966.2,241,227,10,4,1,,.983
2022,TOR,AL,DH,10,10,0.0,0,0,0,0,0,,.000
7 Seasons,2 Teams,,LF,239,172,1614.2,342,316,16,10,6,,.971
,2 Teams,,CF,110,92,819.1,232,227,4,1,0,,.996
,2 Teams,,RF,311,298,2525.1,634,593,26,15,4,,.976
,TOR,AL,DH,36,34,0.0,0,0,0,0,0,,.000
