Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,-1,,-1,0,0,0,1,0,-1,0,90,88,-2
2017,-4,,-1,0,-1,-2,-2,0,0,-2,89,81,-8
2018,-6,,-3,-1,-2,-6,2,1,-2,0,85,83,-2
2019,-5,,0,-1,0,-1,-3,-1,0,-4,89,87,-2
2020,-3,,-1,1,-1,-1,-1,0,-1,-2,81,78,-3
2021,-1,,-3,1,0,-3,-1,1,2,2,86,86,0
2022,-4,,-4,1,-1,-4,0,0,-1,0,88,87,-1
