PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Fried(L, 0-1)",5.2,8,5,5,1,5,0,7.94
McHugh,0.1,2,1,1,0,1,1,27.00
Strider,2.0,0,0,0,0,5,0,0.00
Thornburg,1.0,0,0,0,0,2,0,0.00
,9.0,10,6,6,1,13,1,
