PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Mahle(W, 1-0)",5.0,3,1,0,2,7,0,0.00
Cessa,1.0,0,0,0,2,0,0,0.00
Wilson,1.0,0,0,0,0,2,0,0.00
Moreta,1.0,1,2,2,1,2,1,18.00
"Santillan(S, 1)",1.0,0,0,0,0,2,0,0.00
,9.0,4,3,2,5,13,1,
