PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
Lodolo,6.0,4,1,1,1,6,1,3.75
"Law, D",1.0,1,0,0,0,1,0,1.13
"Farmer, B(W, 2-1)",1.0,0,0,0,0,0,0,3.56
"Díaz, A(S, 9)",1.0,0,0,0,0,3,0,1.81
,9.0,5,1,1,1,10,1,
