,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,699,616,86,148,34,103,0,.240,.325,.477,.802
7 Seasons,3068,2664,409,665,176,476,7,.250,.343,.503,.846
