 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2016,,44,18.4,20.5%,6.8%,20,21.8,0.0%,5.0%
2017,,259,19.2,3.5%,2.3%,178,23.0,1.1%,10.7%
2018,,869,16.9,29.8%,1.0%,518,22.2,0.8%,10.2%
2019,,678,16.8,31.3%,1.8%,445,22.0,2.0%,8.3%
2020,,262,17.3,28.2%,1.1%,229,23.0,0.9%,12.2%
2021,,754,17.0,28.0%,2.9%,506,24.1,0.4%,15.8%
2022,,784,17.8,22.7%,2.9%,471,22.8,0.6%,10.8%
