 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2015,,112,489,-2,-9,4,2,-6
2016,,132,552,-8,-5,6,3,-4
2018,,529,"2,321",5,-7,26,12,36
2019,,604,"2,643",6,-14,27,18,37
2020,,326,"1,469",-14,-5,20,9,10
2021,,587,"2,434",11,-14,26,15,39
2022,,580,"2,507",-19,-9,26,13,11
