BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MorelCF-2B,5,1,0,0,0,4,4,.278,.845
ContrerasC,2,0,0,0,0,0,2,.267,.900
HigginsC,3,0,2,1,0,0,0,.325,.975
HappDH-LF,3,2,3,1,1,0,0,.275,.844
Schwindel1B-P,4,0,0,1,0,2,5,.234,.671
Wisdom3B-1B,4,0,2,0,0,1,2,.221,.774
Villar2B-3B,4,0,0,0,0,0,2,.229,.590
HoernerSS,4,1,1,0,0,0,2,.283,.711
HeywardRF,4,0,2,1,0,0,1,.233,.627
OrtegaLF-CF,4,0,2,0,0,2,1,.266,.719
,37,4,12,4,1,9,19,,
