PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Webb(W, 1-0)",8.0,4,1,1,0,7,0,1.29
"Doval(S, 1)",1.0,1,0,0,1,2,0,6.23
,9.0,5,1,1,1,9,0,
