PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Manaea(L, 1-1)",6.0,4,2,2,2,6,0,1.38
"Wilson, S",2.0,0,0,0,0,5,0,2.25
,8.0,4,2,2,2,11,0,
