BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McKinstry2B,3,1,1,0,1,0,2,.172,.509
HoernerSS,4,0,0,1,0,0,3,.288,.742
HappLF,3,0,0,0,1,0,0,.275,.796
"Suzuki, SRF",4,0,1,1,0,1,0,.247,.735
"Reyes, FDH",4,0,1,0,0,1,2,.229,.647
OrtegaCF,2,0,0,0,1,1,4,.227,.667
"a-Velazquez, NPH-CF",1,0,0,0,0,0,0,.223,.709
GomesC,4,0,0,0,0,0,3,.224,.600
Higgins1B,2,0,0,0,1,1,3,.242,.766
Morel3B,3,1,2,0,0,0,1,.260,.788
,30,2,5,2,4,4,18,,
