 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,26,78.8,--,--,--,13,--,--,--,--,--,10,--,3,--,--,--
2021,192,89.6,84.0,--,--,71,--,12,--,69,--,11,--,14,--,15,--
2022,680,91.9,86.9,--,--,--,--,--,--,680,86.9,--,--,--,--,--,--
