PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Clevinger,4.1,6,3,3,4,1,0,3.63
"Morejon(W, 2-0)",1.2,0,0,0,0,3,0,3.71
"Suarez, R(H, 6)",1.0,1,0,0,0,2,0,2.79
"Martinez, N",1.0,0,0,0,0,2,0,3.17
"Wilson, S",1.0,0,0,0,0,2,0,3.38
,9.0,7,3,3,4,10,0,
