BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Arraez2B,2,2,2,0,1,0,0,.363,.884
a-CelestinoPH-CF,2,0,0,0,1,1,3,.315,.744
CorreaSS,5,2,2,1,0,2,5,.299,.810
KeplerRF,5,2,2,2,0,0,2,.249,.749
Urshela3B,4,0,1,2,1,2,3,.261,.700
Miranda3B,0,0,0,0,0,0,0,.225,.656
Kirilloff1B,5,1,1,2,0,1,2,.171,.416
SanchezDH,3,1,1,2,2,1,1,.226,.732
LarnachLF,5,1,2,0,0,1,1,.240,.741
JeffersC,5,1,1,2,0,1,2,.182,.598
GordonCF-2B,5,1,2,0,0,1,0,.259,.666
,41,11,14,11,5,10,19,,
