PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Bundy(W, 4-3)",8.0,4,1,1,0,7,0,5.17
Cotton,1.0,0,0,0,0,1,0,1.88
,9.0,4,1,1,0,8,0,
