PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Burnes(W, 9-5)",5.2,6,3,3,2,6,0,2.48
"Boxberger(H, 22)",0.1,0,0,0,1,1,0,2.44
"Rogers(H, 1)",1.0,0,0,0,0,1,0,4.79
"Bush(H, 10)",1.0,0,0,0,1,1,0,3.27
"Williams, D(S, 8)",1.0,0,0,0,0,3,0,1.55
,9.0,6,3,3,4,12,0,
