PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Gausman,5.2,5,4,4,1,7,0,6.35
Mayza,0.2,1,1,1,0,2,1,5.40
"Garcia, Y(H, 1)",0.2,0,0,0,0,1,0,0.00
Bass,0.0,3,3,3,0,0,0,-.--
"Romano(L, 0-1)(BS, 1)",1.2,4,2,2,1,4,0,10.80
Cimber,0.1,0,0,0,2,0,0,0.00
,9.0,13,10,10,4,14,1,
