PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Quintana(L, 4-6)",5.0,7,4,2,2,3,0,3.45
Pallante,1.0,1,1,1,1,0,0,2.96
Stratton,1.1,1,1,1,2,2,0,4.91
"Cabrera, G",1.0,6,5,5,1,0,0,4.63
Knizner,0.2,1,0,0,0,0,0,0.00
,9.0,16,11,9,6,5,0,
