BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rodríguez, JCF",4,0,0,0,1,1,1,.143,.543
France1B,5,1,1,0,0,1,2,.200,.400
"Suárez, E3B",5,2,2,0,0,3,1,.444,1.111
RaleighC,4,3,3,1,1,1,0,.500,1.556
HanigerRF,5,1,1,0,0,2,6,.222,.555
Frazier2B,5,2,3,1,0,0,3,.444,1.000
SantanaDH,4,1,2,3,1,2,3,.250,1.083
1-TrammellPR-DH,0,0,0,0,0,0,0,.000,.000
KelenicLF,1,0,0,1,0,1,0,.000,.000
"a-Moore, DPH-LF",2,0,0,0,1,2,3,.000,.333
"Crawford, JSS",5,0,1,3,0,1,4,.143,.619
,40,10,13,9,4,14,23,,
