PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
Ray,3.0,6,4,4,0,4,2,12.00
Brash,1.0,0,0,0,0,1,0,0.00
Sewald,0.2,3,4,4,2,1,0,54.00
Castillo. D,0.1,0,0,0,0,0,0,0.00
Festa,1.1,1,1,1,0,0,0,6.75
Murfee,0.2,2,0,0,0,0,0,0.00
"Muñoz, A(W, 1-0)",1.0,0,0,0,1,1,0,0.00
"Kirby(S, 1)",1.0,0,0,0,1,1,0,0.00
,9.0,12,9,9,4,8,2,
