BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,4,0,0,0,0,3,2,.286,.661
Bradley Jr.CF,1,0,0,0,0,1,0,.000,.000
BichetteSS,4,1,1,0,1,1,1,.250,.708
Guerrero1B,4,1,1,1,1,0,1,.125,.347
KirkDH,4,2,2,0,1,0,2,.375,.944
"Hernández, TRF",4,3,2,4,0,0,1,.250,1.333
"Chapman, M3B",3,0,1,1,1,1,0,.429,1.015
"Jansen, DC",5,0,3,2,0,2,1,.375,.875
MerrifieldLF,2,0,0,0,0,0,1,.200,.533
"Tapia, RLF",2,0,0,0,0,0,3,.000,.000
Espinal2B,4,2,2,0,0,0,5,.500,1.250
,37,9,12,8,4,8,17,,
