savant_uri,schedule_id,schedule_url
Abreu_Jose,547989,https://www.mlb.com/player/547989
Acuna_Jr_Ronald,660670,https://www.mlb.com/player/660670
Adames_Willy,642715,https://www.mlb.com/player/642715
Aguilar_Jesus,542583,https://www.mlb.com/player/542583
Alcantara_Sandy,645261,https://www.mlb.com/player/645261
Alonso_Pete,624413,https://www.mlb.com/player/624413
Altuve_Jose,514888,https://www.mlb.com/player/514888
Alvarez_Yordan,670541,https://www.mlb.com/player/670541
Anderson_Tyler,542881,https://www.mlb.com/player/542881
Andrus_Elvis,462101,https://www.mlb.com/player/462101
Arenado_Nolan,571448,https://www.mlb.com/player/571448
Arozarena_Randy,668227,https://www.mlb.com/player/668227
Arraez_Luis,650333,https://www.mlb.com/player/650333
Baez_Javier,595879,https://www.mlb.com/player/595879
Bassitt_Chris,605135,https://www.mlb.com/player/605135
Bellinger_Cody,641355,https://www.mlb.com/player/641355
Bell_Josh,605137,https://www.mlb.com/player/605137
Benintendi_Andrew,643217,https://www.mlb.com/player/643217
Berrios_Jose,621244,https://www.mlb.com/player/621244
Betts_Mookie,605141,https://www.mlb.com/player/605141
Bichette_Bo,666182,https://www.mlb.com/player/666182
Bieber_Shane,669456,https://www.mlb.com/player/669456
Blackmon_Charlie,453568,https://www.mlb.com/player/453568
Bogaerts_Xander,593428,https://www.mlb.com/player/593428
Bohm_Alec,664761,https://www.mlb.com/player/664761
Bregman_Alex,608324,https://www.mlb.com/player/608324
Brown_Seth,664913,https://www.mlb.com/player/664913
Burnes_Corbin,669203,https://www.mlb.com/player/669203
Canha_Mark,592192,https://www.mlb.com/player/592192
Castellanos_Nick,592206,https://www.mlb.com/player/592206
Cease_Dylan,656302,https://www.mlb.com/player/656302
Chapman_Matt,656305,https://www.mlb.com/player/656305
Cole_Gerrit,543037,https://www.mlb.com/player/543037
Correa_Carlos,621043,https://www.mlb.com/player/621043
Crawford_JP,641487,https://www.mlb.com/player/641487
Cronenworth_Jake,630105,https://www.mlb.com/player/630105
Cron_CJ,543068,https://www.mlb.com/player/543068
