Id,PlayerType,MonthType,MonthTypeV,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
592669,Batter,vs Left,0,,,,,,,,,,,,,,,,140,120,,31,4,0,8,16,16,32,,,2,.258,.350,.492,.842
592669,Batter,vs Right,1,,,,,,,,,,,,,,,,382,354,,90,19,1,21,56,23,89,,,2,.254,.303,.492,.795
669257,Batter,vs Left,0,,,,,,,,,,,,,,,,138,120,,36,6,1,6,16,16,19,,,2,.300,.391,.517,.908
669257,Batter,vs Right,1,,,,,,,,,,,,,,,,440,388,,96,20,2,18,71,40,77,,,8,.247,.327,.448,.775
672386,Batter,vs Left,0,,,,,,,,,,,,,,,,109,98,,27,3,0,3,9,10,15,,,1,.276,.349,.398,.747
672386,Batter,vs Right,1,,,,,,,,,,,,,,,,432,372,,107,16,0,11,54,53,43,,,3,.288,.377,.419,.796
571448,Batter,vs Left,0,,,,,,,,,,,,,,,,124,112,,28,6,1,11,25,11,12,,,1,.250,.323,.616,.939
571448,Batter,vs Right,1,,,,,,,,,,,,,,,,496,445,,135,36,0,19,78,41,60,,,6,.303,.367,.512,.879
664761,Batter,vs Left,0,,,,,,,,,,,,,,,,175,159,,56,17,2,3,19,13,27,,,0,.352,.394,.541,.935
664761,Batter,vs Right,1,,,,,,,,,,,,,,,,456,427,,108,7,1,10,53,18,83,,,4,.253,.285,.344,.629
630105,Batter,vs Left,0,,,,,,,,,,,,,,,,211,181,,42,8,1,6,26,19,48,,,8,.232,.327,.387,.714
630105,Batter,vs Right,1,,,,,,,,,,,,,,,,473,406,,98,22,3,11,62,51,83,,,8,.241,.334,.392,.726
595777,Batter,vs Left,0,,,,,,,,,,,,,,,,197,170,,44,10,1,3,19,24,22,,,1,.259,.352,.382,.734
595777,Batter,vs Right,1,,,,,,,,,,,,,,,,461,405,,96,26,1,12,39,49,81,,,3,.237,.322,.395,.717
518692,Batter,vs Left,0,,,,,,,,,,,,,,,,201,180,,53,13,1,5,24,17,43,,,3,.294,.363,.461,.824
518692,Batter,vs Right,1,,,,,,,,,,,,,,,,507,432,,146,34,1,16,76,67,59,,,2,.338,.424,.532,.956
592663,Batter,vs Left,0,,,,,,,,,,,,,,,,163,141,,37,6,3,5,22,14,41,,,6,.262,.350,.454,.804
592663,Batter,vs Right,1,,,,,,,,,,,,,,,,399,363,,102,20,2,17,62,27,78,,,6,.281,.338,.488,.826
592662,Pitcher,vs Left,0,,,,28,,,37.0,146,29,,,4,5,44,0.92,,,,,,,,,,,,,,,,,
592662,Pitcher,vs Right,1,,,,32,,,149.2,629,134,,,28,57,168,1.28,,,,,,,,,,,,,,,,,
664913,Batter,vs Left,0,,,,,,,,,,,,,,,,99,92,,16,4,0,3,12,6,30,,,1,.174,.232,.315,.547
664913,Batter,vs Right,1,,,,,,,,,,,,,,,,456,408,,99,22,3,22,61,45,116,,,2,.243,.320,.473,.793
657277,Pitcher,vs Left,0,,,,32,,,92.1,399,95,,,6,31,76,1.36,,,,,,,,,,,,,,,,,
657277,Pitcher,vs Right,1,,,,31,,,99.1,388,79,,,5,18,87,0.98,,,,,,,,,,,,,,,,,
605397,Pitcher,vs Left,0,,,,30,,,100.0,403,74,,,10,29,106,1.03,,,,,,,,,,,,,,,,,
605397,Pitcher,vs Right,1,,,,30,,,81.0,337,80,,,12,13,78,1.15,,,,,,,,,,,,,,,,,
502671,Batter,vs Left,0,,,,,,,,,,,,,,,,137,112,,46,12,0,11,29,23,25,,,1,.411,.515,.813,1.328
502671,Batter,vs Right,1,,,,,,,,,,,,,,,,514,449,,132,29,0,24,86,56,116,,,4,.294,.374,.519,.893
608385,Batter,vs Left,0,,,,,,,,,,,,,,,,140,119,,29,5,0,6,20,20,25,,,1,.244,.357,.437,.794
608385,Batter,vs Right,1,,,,,,,,,,,,,,,,407,337,,71,10,0,8,33,64,78,,,3,.211,.339,.312,.651
641355,Batter,vs Left,0,,,,,,,,,,,,,,,,160,150,,32,10,1,2,20,8,44,,,0,.213,.250,.333,.583
641355,Batter,vs Right,1,,,,,,,,,,,,,,,,390,354,,74,17,2,17,48,30,106,,,2,.209,.272,.412,.684
514888,Batter,vs Left,0,,,,,,,,,,,,,,,,162,141,,48,15,0,10,21,20,23,,,1,.340,.426,.660,1.086
514888,Batter,vs Right,1,,,,,,,,,,,,,,,,442,386,,110,24,0,18,36,46,64,,,9,.285,.373,.487,.860
453568,Batter,vs Left,0,,,,,,,,,,,,,,,,172,158,,48,7,3,1,31,7,24,,,5,.304,.351,.405,.756
453568,Batter,vs Right,1,,,,,,,,,,,,,,,,405,372,,92,15,3,15,47,25,85,,,3,.247,.299,.425,.724
628711,Pitcher,vs Left,0,,,,27,,,35.2,137,23,,,6,3,35,0.73,,,,,,,,,,,,,,,,,
628711,Pitcher,vs Right,1,,,,31,,,138.2,552,104,,,17,38,131,1.02,,,,,,,,,,,,,,,,,
665161,Batter,vs Left,0,,,,,,,,,,,,,,,,154,140,,40,8,0,7,19,8,34,,,2,.286,.329,.493,.822
665161,Batter,vs Right,1,,,,,,,,,,,,,,,,404,381,,92,12,2,15,44,14,101,,,4,.241,.274,.402,.676
643396,Batter,vs Left,0,,,,,,,,,,,,,,,,124,106,,28,7,0,0,11,13,14,,,2,.264,.352,.330,.682
643396,Batter,vs Right,1,,,,,,,,,,,,,,,,407,377,,98,13,0,4,37,22,58,,,3,.260,.303,.326,.629
643393,Batter,vs Left,0,,,,,,,,,,,,,,,,86,73,,16,2,0,1,8,8,19,,,2,.219,.310,.288,.598
643393,Batter,vs Right,1,,,,,,,,,,,,,,,,472,424,,101,22,2,6,38,37,50,,,6,.238,.307,.342,.649
669004,Batter,vs Left,0,,,,,,,,,,,,,,,,126,112,,33,7,1,4,14,11,22,,,1,.295,.357,.482,.839
669004,Batter,vs Right,1,,,,,,,,,,,,,,,,408,348,,67,14,2,14,48,55,109,,,0,.193,.299,.365,.664
594835,Pitcher,vs Left,0,,,,28,,,37.2,172,42,,,7,14,27,1.49,,,,,,,,,,,,,,,,,
594835,Pitcher,vs Right,1,,,,32,,,144.2,611,152,,,23,36,76,1.30,,,,,,,,,,,,,,,,,
457705,Batter,vs Left,0,,,,,,,,,,,,,,,,165,145,,32,10,0,7,19,17,39,,,1,.221,.303,.434,.737
457705,Batter,vs Right,1,,,,,,,,,,,,,,,,415,370,,90,15,0,10,50,40,85,,,3,.243,.320,.365,.685
668678,Pitcher,vs Left,0,,,,31,,,91.1,338,45,,,7,26,97,0.78,,,,,,,,,,,,,,,,,
668678,Pitcher,vs Right,1,,,,31,,,92.1,376,76,,,8,21,95,1.05,,,,,,,,,,,,,,,,,
660271,Batter,vs Left,0,,,,,,,,,,,,,,,,228,205,,54,9,2,9,27,19,60,,,2,.263,.329,.459,.788
660271,Batter,vs Right,1,,,,,,,,,,,,,,,,438,381,,106,21,4,25,68,53,101,,,3,.278,.370,.551,.921
660670,Batter,vs Left,0,,,,,,,,,,,,,,,,126,107,,25,5,0,3,7,18,27,,,1,.234,.349,.364,.713
660670,Batter,vs Right,1,,,,,,,,,,,,,,,,407,360,,99,19,0,12,43,35,99,,,9,.275,.351,.428,.779
664353,Pitcher,vs Left,0,,,,29,,,78.0,313,66,,,10,15,63,1.04,,,,,,,,,,,,,,,,,
664353,Pitcher,vs Right,1,,,,29,,,86.0,368,88,,,19,23,71,1.29,,,,,,,,,,,,,,,,,
516782,Batter,vs Left,0,,,,,,,,,,,,,,,,153,139,,42,8,0,7,18,12,35,,,2,.302,.366,.511,.877
516782,Batter,vs Right,1,,,,,,,,,,,,,,,,352,327,,94,16,5,9,45,14,62,,,11,.287,.338,.450,.788
571970,Batter,vs Left,0,,,,,,,,,,,,,,,,146,118,,21,4,0,6,22,22,29,,,3,.178,.315,.364,.679
571970,Batter,vs Right,1,,,,,,,,,,,,,,,,419,346,,70,18,1,15,47,68,112,,,2,.202,.334,.390,.724
606192,Batter,vs Left,0,,,,,,,,,,,,,,,,97,91,,26,9,0,8,20,6,27,,,0,.286,.330,.648,.978
606192,Batter,vs Right,1,,,,,,,,,,,,,,,,438,408,,107,26,1,17,57,28,125,,,2,.262,.313,.456,.769
669242,Batter,vs Left,0,,,,,,,,,,,,,,,,162,152,,42,11,1,5,18,9,27,,,1,.276,.321,.461,.782
669242,Batter,vs Right,1,,,,,,,,,,,,,,,,468,425,,111,20,3,8,39,37,84,,,4,.261,.325,.379,.704
543807,Batter,vs Left,0,,,,,,,,,,,,,,,,131,115,,29,3,1,6,18,14,23,,,1,.252,.336,.452,.788
543807,Batter,vs Right,1,,,,,,,,,,,,,,,,452,398,,108,19,3,19,58,40,77,,,6,.271,.344,.477,.821
570482,Batter,vs Left,0,,,,,,,,,,,,,,,,161,148,,43,12,2,2,13,11,29,,,0,.291,.335,.439,.774
570482,Batter,vs Right,1,,,,,,,,,,,,,,,,390,353,,100,15,1,11,51,30,67,,,2,.283,.338,.425,.763
425794,Pitcher,vs Left,0,,,,32,,,86.0,379,86,,,5,38,61,1.44,,,,,,,,,,,,,,,,,
425794,Pitcher,vs Right,1,,,,31,,,105.1,424,106,,,11,16,82,1.16,,,,,,,,,,,,,,,,,
605141,Batter,vs Left,0,,,,,,,,,,,,,,,,174,156,,48,12,1,11,29,17,27,,,0,.308,.374,.609,.983
605141,Batter,vs Right,1,,,,,,,,,,,,,,,,465,416,,106,28,2,24,53,38,77,,,8,.255,.327,.505,.832
663538,Batter,vs Left,0,,,,,,,,,,,,,,,,132,126,,37,7,2,2,16,5,14,,,1,.294,.326,.429,.755
663538,Batter,vs Right,1,,,,,,,,,,,,,,,,385,355,,98,15,3,8,39,23,43,,,5,.276,.327,.403,.730
607043,Batter,vs Left,0,,,,,,,,,,,,,,,,234,201,,53,12,3,5,26,24,47,,,6,.264,.358,.428,.786
607043,Batter,vs Right,1,,,,,,,,,,,,,,,,439,379,,106,18,4,11,38,47,69,,,10,.280,.372,.435,.807
663898,Batter,vs Left,0,,,,,,,,,,,,,,,,201,180,,57,9,1,8,28,19,33,,,2,.317,.388,.511,.899
663898,Batter,vs Right,1,,,,,,,,,,,,,,,,380,347,,83,21,2,5,35,27,68,,,1,.239,.292,.354,.646
663656,Batter,vs Left,0,,,,,,,,,,,,,,,,223,206,,47,8,0,13,47,15,32,,,0,.228,.279,.456,.735
663656,Batter,vs Right,1,,,,,,,,,,,,,,,,386,338,,93,20,1,17,60,44,63,,,1,.275,.359,.491,.850
641487,Batter,vs Left,0,,,,,,,,,,,,,,,,181,154,,34,5,3,3,19,21,28,,,1,.221,.311,.351,.662
641487,Batter,vs Right,1,,,,,,,,,,,,,,,,422,364,,92,19,0,3,23,47,52,,,9,.253,.352,.330,.682
642731,Batter,vs Left,0,,,,,,,,,,,,,,,,171,152,,43,8,1,7,23,13,28,,,3,.283,.347,.487,.834
642731,Batter,vs Right,1,,,,,,,,,,,,,,,,370,336,,84,14,1,7,39,20,61,,,11,.250,.311,.360,.671
450203,Pitcher,vs Left,0,,,,31,,,85.0,364,72,,,18,33,99,1.24,,,,,,,,,,,,,,,,,
450203,Pitcher,vs Right,1,,,,31,,,86.0,364,77,,,10,30,106,1.24,,,,,,,,,,,,,,,,,
