Id,PlayerType,MonthType,MonthTypeV,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
664761,Batter,Second Inning,1,,,,,,,,,,,,,,,,66,64,9,20,3,1,0,5,2,10,0,0,0,.313,.333,.391,.724
664761,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,61,58,9,19,4,2,0,8,2,8,0,1,0,.328,.344,.466,.810
664761,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,76,65,11,17,4,0,3,11,8,18,0,0,0,.262,.329,.462,.791
664761,Batter,First Inning,0,,,,,,,,,,,,,,,,82,77,10,21,2,0,1,7,3,16,1,0,1,.273,.305,.338,.643
664761,Batter,Third Inning,2,,,,,,,,,,,,,,,,65,62,10,18,4,0,3,12,3,7,0,0,0,.290,.323,.500,.823
664761,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,73,68,11,17,1,0,1,4,4,14,0,1,1,.250,.301,.309,.610
630105,Batter,Extra Innings,9,,,,,,,,,,,,,,,,6,5,4,2,0,0,1,4,0,0,0,0,1,.400,.500,1.000,1.500
630105,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,59,49,3,11,2,1,0,3,9,9,0,0,1,.224,.356,.306,.662
630105,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,70,61,9,19,10,1,0,11,8,9,0,0,0,.311,.391,.508,.899
630105,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,71,60,8,9,2,0,1,6,10,13,0,0,1,.150,.282,.233,.515
630105,Batter,Second Inning,1,,,,,,,,,,,,,,,,55,53,7,16,1,0,2,7,1,6,0,0,0,.302,.309,.434,.743
630105,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,82,73,14,19,2,0,4,15,7,14,0,0,2,.260,.341,.452,.793
630105,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,76,64,10,13,6,0,2,12,6,13,1,0,1,.203,.267,.391,.658
630105,Batter,First Inning,0,,,,,,,,,,,,,,,,114,94,13,19,3,1,3,12,14,33,0,0,5,.202,.333,.351,.684
630105,Batter,Third Inning,2,,,,,,,,,,,,,,,,77,70,12,22,1,1,4,14,4,17,2,0,2,.314,.364,.529,.893
630105,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,74,58,8,10,3,0,0,4,11,17,0,0,3,.172,.329,.224,.553
