PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Adon(L, 1-8)",4.2,7,6,6,4,4,0,6.97
Voth,1.1,3,3,3,1,2,0,9.35
Ramirez,1.0,2,1,1,0,1,0,2.50
Espino,2.0,0,0,0,0,1,0,2.75
,9.0,12,10,10,5,8,0,
