BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LCF-RF",4,0,0,0,0,2,2,.219,.606
"Ruiz, KC",4,0,0,0,0,0,0,.279,.718
"Soto, JRF",3,0,1,0,0,0,0,.245,.833
RoblesCF,0,0,0,0,0,0,0,.229,.578
Strange-GordonCF,1,0,0,0,0,0,0,.211,.422
"Cruz, NDH",4,1,1,0,0,0,1,.205,.583
Bell1B,4,0,2,1,0,1,0,.296,.804
"Hernandez, YLF",4,0,1,0,0,1,1,.319,.821
Franco3B,3,0,0,0,0,0,3,.262,.663
Hernández2B,3,0,1,0,0,2,0,.277,.671
"Escobar, ASS",3,0,1,0,0,2,0,.206,.512
,33,1,7,1,0,8,7,,
